"PC1","PC2",""
"0.698569809158443","-1.00636954547438","Caretta_caretta"
"0.486157621085292","-0.360073466906819","Chelydra_serpentina"
"0.907299019129375","0.0343366729991389","Cottus_gobio"
"-0.76066311151985","0.227384815496893","Crocodylus_johnsoni"
"-2.9981386355832","0.125349807730507","Dermochelys_coriacea"
"1.1512109833314","-1.31631379537444","Gasterosteus_aculeatus"
"0.605246725470081","0.396014639080713","Gehyra_variegata"
"-0.454593073399249","0.116736597401747","Kinosternon_flavescens"
"-0.213449760664827","-0.88501914505523","Lamna_nasus"
"0.230392589527654","-0.566529317770458","Natrix_natrix"
"-0.412174263046318","0.0779485140409137","Prionace_glauca"
"0.605278896794861","3.20291120714904","Sceloporus_undulatus"
"-0.938026547577546","-0.507708040485037","Sphenodon_punctatus"
"0.573792483189175","0.456377022846108","Thamnophis_elegans"
"0.196351070634559","-0.156911157421296","Thunnus_orientalis"
"0.322746193470154","0.161865191742603","Tiliqua_rugosa"
