"PC1","PC2",""
"-0.890745404519649","0.109855473363198","Caretta_caretta"
"-0.588546476199507","0.978166467973326","Chelydra_serpentina"
"-0.921151945488884","-0.613382347138335","Cottus_gobio"
"1.05643599899931","0.314274191866227","Crocodylus_johnsoni"
"2.45999792430003","-1.34340929513946","Dermochelys_coriacea"
"-1.37971653848462","-2.38167423227835","Gasterosteus_aculeatus"
"-0.973695151802704","-0.156969620632603","Gehyra_variegata"
"0.724666898391075","0.239304490918185","Kinosternon_flavescens"
"0.0566626089648352","1.41339427235951","Lamna_nasus"
"-0.155107404204596","0.417093572135234","Natrix_natrix"
"0.428700099456976","0.835467827320696","Prionace_glauca"
"-0.5428110877805","-0.245979205702788","Sceloporus_undulatus"
"1.19755734254303","-0.0897508783587434","Sphenodon_punctatus"
"-0.591207468241516","1.57541188726812","Thamnophis_elegans"
"0.351671078751894","-0.417402457972345","Thunnus_orientalis"
"-0.232710474685166","-0.634400145981864","Tiliqua_rugosa"
